species,name,breed,date_of_birth,age_in_months,weight_kg,temperature,heart_rate,respiratory_rate,blood_pressure_systolic,blood_pressure_diastolic,body_condition_score,hydration_status,mucous_membrane_color,coat_condition,appetite,energy_level,aggression,vomiting,diarrhea,coughing,limping,vaccinations,diagnosis_text,treatment_text,allergies,chronic_conditions,prescriptions,health_status
Cat,Chloe,Ragdoll,2022-09-06,38,5.5,38.5,190,21,144,105,4,normal,pink,healthy,increased,normal,none,False,False,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2024-06-27', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2025-04-05', 'status': 'up_to_date'}, {'vaccine_name': 'FVRCP', 'administered_date': '2025-03-29', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,[],['Chronic Kidney Disease'],[],Healthy
Cat,Kitty,Scottish Fold,2023-12-20,23,6.7,38.9,164,29,138,98,5,normal,pink,healthy,decreased,normal,severe,False,False,False,False,[],General check-up. The cat is healthy.,No specific treatment required.,[],"['Dental Disease', 'Chronic Kidney Disease']",[],Healthy
Cat,Shadow,Persian,2014-08-16,135,5.7,38.1,141,26,157,98,4,normal,pink,healthy,normal,lethargic,none,False,True,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2024-09-25', 'status': 'up_to_date'}, {'vaccine_name': 'FVRCP', 'administered_date': '2024-01-21', 'status': 'overdue'}, {'vaccine_name': 'FeLV', 'administered_date': '2025-06-28', 'status': 'up_to_date'}]",General check-up. The cat is at risk.,Recommended treatment for at risk condition.,"['Flea Bite', 'Fish Protein']",[],[],Healthy
Cat,Leo,Ragdoll,2018-06-19,89,3.2,38.7,170,23,133,97,4,normal,pink,healthy,normal,hyperactive,none,False,False,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2024-05-25', 'status': 'up_to_date'}, {'vaccine_name': 'Rabies', 'administered_date': '2025-05-09', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,[],[],['Amoxicillin'],Healthy
Cat,Leo,Maine Coon,2018-08-05,87,5.5,38.6,173,22,158,110,5,mild_dehydration,pink,healthy,normal,normal,none,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2025-02-18', 'status': 'overdue'}, {'vaccine_name': 'FeLV', 'administered_date': '2025-10-12', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,[],[],['Prednisolone'],Healthy
Cat,Lucy,Other,2020-01-17,70,5.3,38.6,180,25,139,84,6,normal,pink,healthy,normal,normal,none,False,False,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2025-07-12', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2025-01-26', 'status': 'up_to_date'}, {'vaccine_name': 'FeLV', 'administered_date': '2025-03-18', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,[],[],[],Healthy
Cat,Bella,Domestic Shorthair,2018-05-06,90,4.0,39.0,184,26,137,91,5,normal,pink,healthy,increased,normal,severe,False,False,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2024-01-31', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2023-12-21', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2025-03-15', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,['Fish Protein'],['Feline Hyperthyroidism'],['Prednisolone'],Healthy
Cat,Milo,Persian,2012-02-18,165,5.3,38.2,217,30,140,114,5,mild_dehydration,pink,healthy,normal,hyperactive,none,False,False,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2025-01-05', 'status': 'up_to_date'}, {'vaccine_name': 'FeLV', 'administered_date': '2025-08-14', 'status': 'overdue'}]",General check-up. The cat is at risk.,Recommended treatment for at risk condition.,"['Fish Protein', 'Flea Bite']",[],['Amoxicillin'],Healthy
Cat,Shadow,Bengal,2015-12-11,119,3.3,38.5,237,26,159,105,5,normal,pink,healthy,normal,normal,none,False,False,False,False,[],General check-up. The cat is at risk.,Recommended treatment for at risk condition.,"['Fish Protein', 'Pollen']","['Chronic Kidney Disease', 'Dental Disease']",['Metronidazole'],Healthy
Cat,Nala,Domestic Shorthair,2024-09-26,13,3.9,38.6,152,21,167,89,5,normal,pink,healthy,normal,normal,none,False,True,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2025-06-21', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2025-07-08', 'status': 'overdue'}]",General check-up. The cat is at risk.,Recommended treatment for at risk condition.,"['Flea Bite', 'Pollen']",[],[],Healthy
Cat,Tiger,Sphynx,2023-01-16,34,4.5,39.0,188,23,149,100,3,normal,pink,healthy,decreased,normal,moderate,False,False,False,False,[],General check-up. The cat is healthy.,No specific treatment required.,[],['Feline Hyperthyroidism'],[],At Risk
Cat,Chloe,Bengal,2017-08-19,99,3.4,38.7,155,25,145,104,6,normal,pale,healthy,normal,normal,none,True,False,False,False,[],General check-up. The cat is healthy.,No specific treatment required.,[],[],['Amoxicillin'],Healthy
Cat,Bella,Maine Coon,2011-02-25,177,5.8,38.8,191,28,150,91,5,normal,pink,matted,normal,normal,none,False,True,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2025-07-01', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2025-03-28', 'status': 'overdue'}, {'vaccine_name': 'FeLV', 'administered_date': '2025-08-25', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,[],['Dental Disease'],[],Healthy
Cat,Smokey,Sphynx,2024-02-29,20,5.3,38.9,166,28,159,98,4,normal,yellow,healthy,normal,normal,none,False,False,False,False,[],General check-up. The cat is healthy.,No specific treatment required.,[],['Dental Disease'],[],Healthy
Cat,Milo,Persian,2017-03-24,104,2.2,38.8,213,26,148,80,6,normal,pink,healthy,normal,normal,none,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2024-09-07', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2024-01-19', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,"['Flea Bite', 'Pollen']",[],[],Healthy
Cat,Kitty,Siamese,2018-04-20,91,3.2,38.6,171,22,164,91,4,normal,pink,healthy,normal,normal,moderate,False,False,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2025-03-26', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2025-06-08', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,['Pollen'],['Dental Disease'],[],Healthy
Cat,Shadow,Persian,2023-05-13,30,5.5,37.9,170,34,147,104,3,normal,pink,healthy,normal,lethargic,severe,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2025-09-25', 'status': 'up_to_date'}]",General check-up. The cat is at risk.,Recommended treatment for at risk condition.,"['Fish Protein', 'Flea Bite']",[],[],At Risk
Cat,Bella,Persian,2015-03-29,127,4.6,38.8,226,29,153,91,6,normal,pink,healthy,normal,normal,none,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2024-07-19', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2024-01-04', 'status': 'overdue'}, {'vaccine_name': 'FeLV', 'administered_date': '2024-06-08', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,"['Pollen', 'Flea Bite']","['Dental Disease', 'Chronic Kidney Disease']",['Prednisolone'],Healthy
Cat,Simba,Bengal,2022-02-25,45,5.3,38.8,164,24,161,99,4,normal,pink,dull,decreased,normal,none,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2024-09-27', 'status': 'overdue'}, {'vaccine_name': 'FeLV', 'administered_date': '2024-12-26', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,"['Fish Protein', 'Pollen']","['Chronic Kidney Disease', 'Feline Hyperthyroidism']",['Prednisolone'],Healthy
Cat,Simba,Persian,2012-04-17,163,6.5,39.0,189,20,127,86,5,normal,pink,healthy,normal,normal,none,True,True,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2025-03-11', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2024-05-21', 'status': 'up_to_date'}, {'vaccine_name': 'FVRCP', 'administered_date': '2025-03-05', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,[],[],['Metronidazole'],Healthy
Cat,Max,Domestic Shorthair,2024-04-01,19,6.2,38.1,192,29,167,88,5,normal,pink,healthy,normal,normal,severe,False,False,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2024-03-22', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2024-06-17', 'status': 'up_to_date'}, {'vaccine_name': 'FeLV', 'administered_date': '2023-12-04', 'status': 'overdue'}]",General check-up. The cat is at risk.,Recommended treatment for at risk condition.,['Flea Bite'],[],['Amoxicillin'],Healthy
Cat,Oliver,Maine Coon,2024-03-29,19,5.3,37.4,164,35,167,103,2,severe_dehydration,pink,healthy,absent,lethargic,mild,True,True,False,True,"[{'vaccine_name': 'Rabies', 'administered_date': '2025-05-03', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2024-03-01', 'status': 'up_to_date'}]",Acute kidney injury suspected; further diagnostics needed.,Hospitalization for IV fluids and supportive care.,"['Fish Protein', 'Pollen']",[],['Amoxicillin'],Unhealthy
Cat,Shadow,Scottish Fold,2013-08-04,147,4.9,38.3,177,25,149,103,6,normal,pink,healthy,normal,hyperactive,none,True,False,False,False,[],General check-up. The cat is healthy.,No specific treatment required.,[],[],['Metronidazole'],Healthy
Cat,Smokey,Bengal,2015-11-04,120,4.5,38.9,242,29,153,108,6,normal,pink,healthy,decreased,normal,none,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2024-07-31', 'status': 'overdue'}]",General check-up. The cat is at risk.,Recommended treatment for at risk condition.,[],"['Chronic Kidney Disease', 'Dental Disease']",[],Healthy
Cat,Lucy,Maine Coon,2023-12-30,22,3.9,39.2,209,19,170,115,5,normal,pink,healthy,normal,lethargic,none,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2025-08-14', 'status': 'overdue'}]",General check-up. The cat is at risk.,Recommended treatment for at risk condition.,[],['Chronic Kidney Disease'],[],Healthy
Cat,Max,Persian,2023-12-13,23,3.7,38.9,164,26,106,110,5,normal,pink,patchy,decreased,normal,moderate,True,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2024-06-19', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2025-02-13', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,[],[],['Amoxicillin'],At Risk
Cat,Simba,Ragdoll,2014-07-14,136,4.0,38.6,128,24,139,85,4,normal,pale,healthy,normal,normal,none,True,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2024-09-18', 'status': 'up_to_date'}, {'vaccine_name': 'Rabies', 'administered_date': '2024-09-15', 'status': 'up_to_date'}]",General check-up. The cat is at risk.,Recommended treatment for at risk condition.,[],[],['Amoxicillin'],Healthy
Cat,Shadow,Persian,2011-10-18,169,2.9,38.7,166,21,163,110,5,normal,pink,healthy,decreased,normal,none,False,False,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2025-02-24', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2024-05-27', 'status': 'up_to_date'}, {'vaccine_name': 'FeLV', 'administered_date': '2025-06-02', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,[],[],['Amoxicillin'],Healthy
Cat,Oliver,Maine Coon,2017-09-24,98,4.9,38.1,156,20,126,103,6,normal,pink,healthy,normal,normal,severe,False,False,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2023-12-18', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,[],['Dental Disease'],[],Healthy
Cat,Kitty,Ragdoll,2013-12-28,142,4.3,38.6,163,25,129,98,7,normal,pink,healthy,normal,normal,mild,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2023-12-23', 'status': 'up_to_date'}, {'vaccine_name': 'FeLV', 'administered_date': '2024-01-27', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,['Fish Protein'],"['Feline Hyperthyroidism', 'Chronic Kidney Disease']",[],Healthy
Cat,Lucy,Bengal,2016-09-11,110,5.2,38.5,191,27,169,87,5,normal,pink,healthy,normal,normal,moderate,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2024-01-01', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2025-03-21', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,['Fish Protein'],[],['Prednisolone'],Healthy
Cat,Smokey,Bengal,2022-11-07,36,2.4,38.5,158,16,159,98,5,normal,pink,healthy,normal,normal,none,False,False,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2024-09-04', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2025-09-23', 'status': 'overdue'}, {'vaccine_name': 'FeLV', 'administered_date': '2025-09-11', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,['Flea Bite'],"['Feline Hyperthyroidism', 'Chronic Kidney Disease']",['Metronidazole'],Healthy
Cat,Simba,Other,2023-08-02,27,5.6,38.3,197,28,141,98,6,normal,pink,healthy,decreased,normal,none,False,True,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2025-07-25', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,"['Flea Bite', 'Pollen']","['Chronic Kidney Disease', 'Feline Hyperthyroidism']",[],Healthy
Cat,Leo,Bengal,2014-12-02,131,7.2,38.9,203,26,124,88,6,normal,pink,healthy,normal,normal,none,False,False,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2024-06-09', 'status': 'up_to_date'}, {'vaccine_name': 'FeLV', 'administered_date': '2023-12-02', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,[],[],[],Healthy
Cat,Bella,Domestic Shorthair,2022-07-15,40,4.5,39.0,156,31,154,103,4,normal,pink,healthy,normal,normal,none,False,False,False,False,[],General check-up. The cat is healthy.,No specific treatment required.,"['Pollen', 'Flea Bite']",[],[],Healthy
Cat,Luna,Domestic Shorthair,2025-03-12,8,3.8,38.4,182,23,124,86,5,normal,pink,healthy,decreased,lethargic,severe,False,False,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2025-02-19', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,['Pollen'],"['Feline Hyperthyroidism', 'Dental Disease']",[],At Risk
Cat,Tiger,Sphynx,2013-03-03,152,6.7,38.8,171,15,179,96,3,normal,white,healthy,normal,lethargic,none,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2025-06-20', 'status': 'up_to_date'}]",General check-up. The cat is at risk.,Recommended treatment for at risk condition.,[],"['Feline Hyperthyroidism', 'Chronic Kidney Disease']",[],At Risk
Cat,Chloe,Other,2021-04-14,55,4.5,38.7,136,23,161,90,4,normal,pink,dull,normal,normal,severe,False,False,False,False,[],General check-up. The cat is healthy.,No specific treatment required.,[],[],['Amoxicillin'],Healthy
Cat,Smokey,Ragdoll,2019-01-30,81,3.6,37.7,165,18,161,69,1,severe_dehydration,pink,matted,absent,lethargic,none,True,True,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2024-04-23', 'status': 'overdue'}, {'vaccine_name': 'FeLV', 'administered_date': '2024-03-10', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2024-05-12', 'status': 'up_to_date'}]",Severe upper respiratory infection with high fever.,Referral to internal medicine specialist.,['Flea Bite'],['Chronic Kidney Disease'],['Amoxicillin'],Unhealthy
Cat,Smokey,Maine Coon,2020-08-18,63,4.7,39.0,193,21,135,113,4,normal,pink,healthy,normal,normal,mild,False,False,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2025-08-29', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,[],[],[],Healthy
Cat,Kitty,Sphynx,2024-12-13,11,4.5,38.9,208,23,170,72,5,normal,pink,healthy,absent,normal,none,True,False,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2024-01-14', 'status': 'overdue'}, {'vaccine_name': 'FeLV', 'administered_date': '2025-01-14', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2024-09-10', 'status': 'up_to_date'}]",General check-up. The cat is at risk.,Recommended treatment for at risk condition.,[],"['Chronic Kidney Disease', 'Feline Hyperthyroidism']",[],Healthy
Cat,Max,Persian,2024-10-16,13,3.1,38.9,186,24,146,85,4,mild_dehydration,pink,healthy,absent,normal,mild,False,False,False,False,[],General check-up. The cat is healthy.,No specific treatment required.,"['Pollen', 'Fish Protein']",[],[],Healthy
Cat,Tiger,Siamese,2013-06-30,148,2.2,38.5,250,22,134,90,5,normal,pink,healthy,normal,normal,none,False,False,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2023-12-04', 'status': 'up_to_date'}, {'vaccine_name': 'FVRCP', 'administered_date': '2025-04-18', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2024-02-12', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,['Pollen'],[],[],Healthy
Cat,Shadow,Bengal,2012-09-02,158,2.7,38.5,176,28,169,98,6,normal,pale,healthy,normal,normal,none,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2024-01-04', 'status': 'up_to_date'}, {'vaccine_name': 'FeLV', 'administered_date': '2025-05-15', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2025-09-17', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,"['Pollen', 'Flea Bite']",[],[],Healthy
Cat,Bella,Sphynx,2017-05-15,102,7.1,38.7,200,27,128,89,2,normal,pink,healthy,decreased,normal,none,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2023-12-13', 'status': 'up_to_date'}, {'vaccine_name': 'FeLV', 'administered_date': '2023-11-29', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,[],"['Feline Hyperthyroidism', 'Dental Disease']",[],At Risk
Cat,Nala,Persian,2012-01-15,166,4.3,38.1,181,25,136,89,8,mild_dehydration,yellow,healthy,absent,normal,none,False,False,False,False,[],General check-up. The cat is healthy.,No specific treatment required.,['Pollen'],[],[],At Risk
Cat,Leo,Bengal,2023-05-19,30,3.4,38.5,190,28,152,90,7,mild_dehydration,pink,healthy,normal,normal,none,False,True,False,False,[],General check-up. The cat is healthy.,No specific treatment required.,[],[],[],Healthy
Cat,Max,Other,2011-09-26,170,1.9,38.5,184,24,134,95,5,normal,pink,healthy,decreased,normal,none,True,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2025-10-07', 'status': 'up_to_date'}, {'vaccine_name': 'FeLV', 'administered_date': '2024-01-02', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,"['Fish Protein', 'Pollen']",[],['Amoxicillin'],Healthy
Cat,Simba,Persian,2016-07-20,112,3.2,38.7,172,24,134,100,5,normal,pink,healthy,normal,normal,none,True,True,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2025-04-12', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,['Fish Protein'],[],[],Healthy
Cat,Max,Domestic Shorthair,2015-11-14,120,5.3,37.9,215,29,159,69,8,mild_dehydration,pink,healthy,increased,normal,moderate,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2023-12-17', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2024-05-28', 'status': 'overdue'}, {'vaccine_name': 'FeLV', 'administered_date': '2024-03-18', 'status': 'up_to_date'}]",General check-up. The cat is at risk.,Recommended treatment for at risk condition.,[],['Chronic Kidney Disease'],[],At Risk
Cat,Shadow,Domestic Shorthair,2014-12-16,131,6.6,38.6,199,24,147,114,5,normal,pink,healthy,normal,lethargic,none,True,False,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2024-03-13', 'status': 'up_to_date'}, {'vaccine_name': 'Rabies', 'administered_date': '2025-05-18', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,[],[],[],Healthy
Cat,Luna,Other,2013-03-30,151,2.7,39.8,230,22,166,95,7,severe_dehydration,pale,dull,decreased,normal,none,True,True,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2024-01-24', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2024-04-26', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2024-09-24', 'status': 'up_to_date'}]",Severe gastroenteritis and dehydration.,Aggressive antibiotic and anti-emetic therapy.,[],[],[],Unhealthy
Cat,Bella,Other,2017-09-09,98,5.6,38.8,187,24,152,106,5,normal,pink,healthy,decreased,normal,moderate,False,True,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2025-04-06', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2025-07-01', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,[],[],[],At Risk
Cat,Kitty,Sphynx,2017-09-13,98,3.3,38.4,171,26,149,105,4,normal,pink,healthy,normal,normal,mild,False,False,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2025-04-23', 'status': 'up_to_date'}, {'vaccine_name': 'FVRCP', 'administered_date': '2025-07-27', 'status': 'up_to_date'}, {'vaccine_name': 'FeLV', 'administered_date': '2024-08-02', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,[],['Feline Hyperthyroidism'],[],Healthy
Cat,Milo,Maine Coon,2024-11-05,12,4.8,39.0,190,20,154,115,4,normal,pink,healthy,normal,lethargic,none,False,True,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2024-07-09', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,"['Pollen', 'Flea Bite']",['Dental Disease'],[],Healthy
Cat,Kitty,Other,2012-05-22,162,2.5,37.6,148,5,145,104,7,moderate_dehydration,pink,matted,absent,lethargic,none,True,True,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2023-12-26', 'status': 'up_to_date'}, {'vaccine_name': 'FVRCP', 'administered_date': '2025-03-25', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2025-02-28', 'status': 'up_to_date'}]",Severe gastroenteritis and dehydration.,Hospitalization for IV fluids and supportive care.,"['Pollen', 'Fish Protein']","['Dental Disease', 'Feline Hyperthyroidism']",['Prednisolone'],Unhealthy
Cat,Simba,Persian,2014-10-19,133,4.4,38.4,184,25,163,93,4,normal,pink,healthy,normal,normal,none,False,False,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2024-03-06', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,['Pollen'],[],[],Healthy
